Time (s),R (V), Theta (degrees)
0.0,0.01357085,132.8135
0.001953125,0.01370817,132.7275
0.00390625,0.01396757,133.3994
0.005859375,0.01401144,133.6338
0.0078125,0.01422316,133.3682
0.009765625,0.01432806,133.8838
0.01171875,0.0143128,133.5557
0.013671875,0.01447111,133.5947
0.015625,0.01447684,133.9385
0.017578125,0.01450545,133.3604
0.01953125,0.0146237,133.6807
0.021484375,0.01455122,133.7588
0.0234375,0.01466757,133.2979
0.025390625,0.01471907,133.7744
0.02734375,0.01463705,133.4229
0.029296875,0.01477438,133.3682
0.03125,0.01473624,133.7588
0.033203125,0.01473051,133.1494
0.03515625,0.01482016,133.4072
0.037109375,0.01472098,133.3916
0.0390625,0.01477438,133.0869
0.041015625,0.01460654,132.6885
0.04296875,0.01456457,132.5322
0.044921875,0.01431853,132.4932
0.046875,0.01427275,131.8916
0.048828125,0.01419073,132.1885
0.05078125,0.01395231,131.8525
0.052734375,0.01400572,131.6963
0.0546875,0.01385885,132.1104
0.056640625,0.01373678,131.501
0.05859375,0.01379019,131.7744
0.060546875,0.0135861,131.9697
0.0625,0.01361662,131.4619
0.064453125,0.01361281,131.9541
0.06640625,0.01342779,131.7432
0.068359375,0.01354414,131.6182
0.0703125,0.01346213,132.1104
0.072265625,0.01339155,131.5947
0.07421875,0.01349264,131.8916
0.076171875,0.01338011,132.1104
0.078125,0.01346785,131.8057
0.080078125,0.01349646,132.2354
0.08203125,0.01365668,132.3291
0.083984375,0.01374823,132.9854
0.0859375,0.01395804,132.5869
0.087890625,0.01413733,133.2275
0.08984375,0.01412398,133.2197
0.091796875,0.01433951,133.0791
0.09375,0.01437765,133.5557
0.095703125,0.01437575,133.1182
0.09765625,0.0145207,133.3057
0.099609375,0.01448637,133.6416
0.1015625,0.0145703,133.0869
0.103515625,0.01466185,133.5557
0.10546875,0.01457602,133.4541
0.107421875,0.01471144,133.1729
0.109375,0.01471525,133.626
0.111328125,0.01466376,133.126
0.11328125,0.01476866,133.2432
0.115234375,0.01470762,133.5322
0.1171875,0.01474768,132.9619
0.119140625,0.01476294,133.3291
0.12109375,0.01471335,132.7354
0.123046875,0.01452643,132.7275
0.125,0.01439673,131.9775
0.126953125,0.0143376,132.1338
0.12890625,0.01406485,132.001
0.130859375,0.01408583,131.5713
0.1328125,0.01397139,132.001
0.134765625,0.01377302,131.5166
0.13671875,0.0138436,131.5869
0.138671875,0.01366431,131.9541
0.140625,0.01362044,131.3604
0.142578125,0.01365477,131.7744
0.14453125,0.0134545,131.8057
0.146484375,0.01354223,131.4619
0.1484375,0.013506,131.9854
0.150390625,0.01336676,131.5869
0.15234375,0.01348883,131.7275
0.154296875,0.01339918,132.1025
0.15625,0.01342779,131.7666
0.158203125,0.01346213,132.4385
0.16015625,0.01366431,132.7744
0.162109375,0.01381499,133.4229
0.1640625,0.01395804,133.0088
0.166015625,0.01416594,133.501
0.16796875,0.01417738,133.6885
0.169921875,0.01435286,133.2666
0.171875,0.01443869,133.7588
0.173828125,0.01440626,133.3994
0.17578125,0.01455504,133.3213
0.177734375,0.01455122,133.665
0.1796875,0.0145703,133.0635
0.181640625,0.01468855,133.3525
0.18359375,0.01461607,133.501
0.185546875,0.01472479,133.0088
0.1875,0.01477057,133.5088
0.189453125,0.01467711,133.2197
0.19140625,0.01480299,133.165
0.193359375,0.01476675,133.5557
0.1953125,0.01474768,132.9541
0.197265625,0.01481444,133.1963
0.19921875,0.01471716,132.915
0.201171875,0.01466948,132.8994
0.203125,0.01448828,132.29
0.205078125,0.01446158,132.2666
0.20703125,0.01421744,132.29
0.208984375,0.01417929,131.6963
0.2109375,0.01411253,132.0557
0.212890625,0.01387602,131.7822
0.21484375,0.01394087,131.6025
0.216796875,0.01380354,132.0635
0.21875,0.01367766,131.4775
0.220703125,0.01374251,131.7432
0.22265625,0.01355177,131.9775
0.224609375,0.01357657,131.4619
0.2265625,0.0135861,131.9463
0.228515625,0.013403,131.7744
0.23046875,0.01352125,131.6338
0.232421875,0.0134545,132.1104
0.234375,0.01338774,131.6572
0.236328125,0.01349455,131.9541
0.23828125,0.01342398,132.1729
0.240234375,0.01359373,132.4307
0.2421875,0.0136376,132.3916
0.244140625,0.01390272,132.8604
0.24609375,0.01395231,133.376
0.248046875,0.01411062,132.9307
0.25,0.01426512,133.5479
0.251953125,0.01423651,133.4541
0.25390625,0.01439101,133.2432
0.255859375,0.01443869,133.7197
0.2578125,0.01442152,133.2666
0.259765625,0.01457793,133.415
0.26171875,0.0145455,133.7354
0.263671875,0.01461416,133.1416
0.265625,0.0147019,133.5557
0.267578125,0.01460844,133.4697
0.26953125,0.01473433,133.1572
0.271484375,0.01473624,133.5791
0.2734375,0.01467329,133.1338
0.275390625,0.01478773,133.2197
0.27734375,0.01470953,133.4385
0.279296875,0.01474577,133.1182
0.28125,0.01453978,132.8682
0.283203125,0.01452643,132.6729
0.28515625,0.0143109,132.8447
0.287109375,0.01419646,132.1572
0.2890625,0.01416785,132.415
0.291015625,0.01391417,132.3369
0.29296875,0.01394278,131.8994
0.294921875,0.01385695,132.3369
0.296875,0.01366621,131.8838
0.298828125,0.01375204,131.915
0.30078125,0.01359564,132.29
0.302734375,0.01354796,131.6494
0.3046875,0.01359946,132.0322
0.306640625,0.01341063,132.0791
0.30859375,0.01350027,131.6963
0.310546875,0.0134812,132.1729
0.3125,0.01336104,131.8369
0.314453125,0.01349264,131.9307
0.31640625,0.01343733,132.2275
0.318359375,0.01358229,132.1885
0.3203125,0.01362807,132.29
0.322265625,0.01388365,132.3682
0.32421875,0.0139733,132.9697
0.326171875,0.01408583,132.4854
0.328125,0.01426131,132.9229
0.330078125,0.01424605,133.1494
0.33203125,0.01440436,132.7822
0.333984375,0.01447874,133.3057
0.3359375,0.01443106,133.0557
0.337890625,0.01457602,133.0166
0.33984375,0.01457602,133.4229
0.341796875,0.01457793,132.8682
0.34375,0.01470762,133.1963
0.345703125,0.01463324,133.376
0.34765625,0.01473624,132.876
0.349609375,0.01478392,133.3682
0.3515625,0.01468855,133.1104
0.353515625,0.0148049,132.9932
0.35546875,0.01476294,133.3994
0.357421875,0.01474005,132.8604
0.359375,0.0147,133.126
0.361328125,0.01466185,132.5869
0.36328125,0.01449972,132.626
0.365234375,0.01432425,132.0322
0.3671875,0.01432425,132.0635
0.369140625,0.01408201,132.1572
0.37109375,0.01404768,131.5635
0.373046875,0.014,131.9541
0.375,0.01376158,131.7197
0.376953125,0.01383597,131.5322
0.37890625,0.01371771,132.0088
0.380859375,0.01359183,131.4619
0.3828125,0.01367003,131.7041
0.384765625,0.01349837,131.9775
0.38671875,0.01351935,131.4307
0.388671875,0.01354223,131.9229
0.390625,0.01336485,131.7744
0.392578125,0.01348692,131.6572
0.39453125,0.01344496,132.1104
0.396484375,0.01340491,131.7354
0.3984375,0.01351172,132.1885
0.400390625,0.01362616,132.0244
0.40234375,0.01380545,132.8291
0.404296875,0.01389319,132.4775
0.40625,0.01412016,132.8057
0.408203125,0.01415259,133.2354
0.41015625,0.01428229,132.6963
0.412109375,0.01439291,133.0947
0.4140625,0.01435095,133.0791
0.416015625,0.01450926,132.79
0.41796875,0.01455122,133.3213
0.419921875,0.0145207,132.8604
0.421875,0.01466376,132.9854
0.423828125,0.01461798,133.3525
0.42578125,0.01466948,132.79
0.427734375,0.01474768,133.1963
0.4296875,0.01465422,133.1807
0.431640625,0.01476675,132.8604
0.43359375,0.01477438,133.3135
0.435546875,0.01469809,132.8838
0.4375,0.01476675,133.126
0.439453125,0.01467139,132.5791
0.44140625,0.01455885,132.6494
0.443359375,0.0143128,132.1572
0.4453125,0.01432234,132.04
0.447265625,0.01411444,132.29
0.44921875,0.01400763,131.6182
0.451171875,0.01400381,131.9229
0.453125,0.01376349,131.9307
0.455078125,0.01380545,131.5166
0.45703125,0.0137406,132.0166
0.458984375,0.01355749,131.6104
0.4609375,0.01365668,131.6416
0.462890625,0.01351935,132.0635
0.46484375,0.01347357,131.4775
0.466796875,0.01354033,131.8604
0.46875,0.01337057,131.9541
0.470703125,0.01345831,131.5947
0.47265625,0.0134545,132.0869
0.474609375,0.01336485,131.8994
0.4765625,0.013506,132.0713
0.478515625,0.013506,132.0322
0.48046875,0.01370245,132.7041
0.482421875,0.01375014,132.6729
0.484375,0.01401526,132.8213
0.486328125,0.01408583,133.3994
0.48828125,0.01416022,132.9307
0.490234375,0.01434141,133.3213
0.4921875,0.01430517,133.5088
0.494140625,0.01443487,133.0869
0.49609375,0.01450163,133.5713
0.498046875,0.01443678,133.3682
0.5,0.01459318,133.2744
0.501953125,0.01459891,133.7588
0.50390625,0.014597,133.1416
0.505859375,0.01472479,133.4229
0.5078125,0.01464659,133.5869
0.509765625,0.01473242,133.0635
0.51171875,0.01476866,133.4775
0.513671875,0.01466948,133.2666
0.515625,0.01478964,133.1104
0.517578125,0.01470953,133.3213
0.51953125,0.01468664,133.0166
0.521484375,0.01448828,133.0088
0.5234375,0.01447874,132.665
0.525390625,0.01432234,132.9072
0.52734375,0.01414114,132.29
0.529296875,0.01415831,132.3838
0.53125,0.01392943,132.5479
0.533203125,0.01390082,131.9072
0.53515625,0.01387221,132.3135
0.537109375,0.01364905,132.1025
0.5390625,0.01373106,131.8525
0.541015625,0.01363379,132.3135
0.54296875,0.0135079,131.7588
0.544921875,0.01360136,131.9541
0.546875,0.01344115,132.2275
0.548828125,0.01346213,131.6416
0.55078125,0.01349455,132.0947
0.552734375,0.01334196,131.9775
0.5546875,0.01346785,131.876
0.556640625,0.0134545,132.2666
0.55859375,0.01358229,132.1025
0.560546875,0.01363951,132.4229
0.5625,0.01390654,132.2822
0.564453125,0.01403433,132.9385
0.56640625,0.01408392,132.5791
0.568359375,0.01428419,132.7979
0.5703125,0.01428992,133.1572
0.572265625,0.01437765,132.6729
0.57421875,0.01448447,133.0791
0.576171875,0.01443106,133.1338
0.578125,0.01458555,132.8447
0.580078125,0.01462179,133.3604
0.58203125,0.01457411,132.9541
0.583984375,0.01472098,133.0557
0.5859375,0.01467329,133.4229
0.587890625,0.01470762,132.8369
0.58984375,0.01478392,133.2197
0.591796875,0.01468283,133.2354
0.59375,0.01479155,132.8604
0.595703125,0.01477057,133.251
0.59765625,0.01474577,132.626
0.599609375,0.01448637,132.4932
0.6015625,0.01442915,131.9229
0.603515625,0.01429564,132.1494
0.60546875,0.01405722,131.6963
0.607421875,0.01408964,131.626
0.609375,0.01390463,131.9541
0.611328125,0.01381117,131.3369
0.61328125,0.01383406,131.6807
0.615234375,0.01361281,131.7666
0.6171875,0.01366431,131.3291
0.619140625,0.01362234,131.8525
0.62109375,0.01345259,131.5166
0.623046875,0.01356322,131.54
0.625,0.0134545,131.9932
0.626953125,0.01340872,131.4385
0.62890625,0.01349074,131.8135
0.630859375,0.01334196,131.9697
0.6328125,0.01343733,131.626
0.634765625,0.01345259,132.0557
0.63671875,0.01341444,131.8135
0.638671875,0.01350409,132.6025
0.640625,0.01368529,132.6104
0.642578125,0.01388747,133.54
0.64453125,0.01391989,133.4932
0.646484375,0.01416403,133.5635
0.6484375,0.01422507,134.1104
0.650390625,0.01427656,133.5479
0.65234375,0.01443106,133.8604
0.654296875,0.01440054,133.9932
0.65625,0.01449782,133.4932
0.658203125,0.01458937,133.9697
0.66015625,0.01451308,133.7275
0.662109375,0.01467901,133.5557
0.6640625,0.01466948,133.9932
0.666015625,0.0146485,133.3682
0.66796875,0.01475912,133.5557
0.669921875,0.01468092,133.7041
0.671875,0.01474005,133.1729
0.673828125,0.01478392,133.5557
0.67578125,0.01468283,133.3447
0.677734375,0.01477438,133.2588
0.6796875,0.01463515,132.7588
0.681640625,0.01455885,132.7041
0.68359375,0.01427847,132.415
0.685546875,0.01428038,132.04
0.6875,0.01412207,132.376
0.689453125,0.01394087,131.7744
0.69140625,0.01398093,131.8916
0.693359375,0.0137673,132.126
0.6953125,0.01374441,131.5244
0.697265625,0.0137406,131.9619
0.69921875,0.01352888,131.8291
0.701171875,0.01362234,131.5713
0.703125,0.01354414,132.0791
0.705078125,0.01342016,131.5635
0.70703125,0.01352507,131.7588
0.708984375,0.01338392,132.0791
0.7109375,0.01341063,131.5557
0.712890625,0.01345831,131.9932
0.71484375,0.01335341,131.9541
0.716796875,0.0135327,132.4854
0.71875,0.01366431,132.3291
0.720703125,0.01391989,133.0166
0.72265625,0.01396757,133.1494
0.724609375,0.01419836,132.9854
0.7265625,0.01430327,133.5791
0.728515625,0.01431471,133.1963
0.73046875,0.01447684,133.3291
0.732421875,0.01447111,133.6572
0.734375,0.01453215,133.1104
0.736328125,0.01463705,133.4541
0.73828125,0.01456457,133.4775
0.740234375,0.01469809,133.1182
0.7421875,0.01473242,133.626
0.744140625,0.01466566,133.1963
0.74609375,0.01480108,133.2432
0.748046875,0.01474577,133.6104
0.75,0.01475531,133.0166
0.751953125,0.01482779,133.3369
0.75390625,0.01471907,133.3057
0.755859375,0.01479155,133.165
0.7578125,0.0146504,132.7197
0.759765625,0.01460654,132.5713
0.76171875,0.01434332,132.4697
0.763671875,0.01431853,131.9541
0.765625,0.01421934,132.2666
0.767578125,0.01399428,131.8604
0.76953125,0.01404768,131.7744
0.771484375,0.01387602,132.1338
0.7734375,0.01378065,131.5166
0.775390625,0.01381499,131.8447
0.77734375,0.01359946,131.9463
0.779296875,0.01365286,131.4932
0.78125,0.01362044,132.001
0.783203125,0.01344877,131.6963
0.78515625,0.01356512,131.665
0.787109375,0.01346213,132.126
0.7890625,0.01341826,131.5947
0.791015625,0.013506,131.9385
0.79296875,0.0133782,132.0791
0.794921875,0.01348311,131.8291
0.796875,0.01349646,132.1104
0.798828125,0.01363188,132.2119
0.80078125,0.01368719,132.8838
0.802734375,0.01391417,132.626
0.8046875,0.01407057,133.3525
0.806640625,0.01406866,133.251
0.80859375,0.0142861,133.165
0.810546875,0.01431662,133.6963
0.8125,0.01434332,133.1885
0.814453125,0.01447684,133.4229
0.81640625,0.01443678,133.6885
0.818359375,0.0145455,133.1494
0.8203125,0.01463133,133.6338
0.822265625,0.01454931,133.4307
0.82421875,0.01469809,133.2432
0.826171875,0.01468474,133.6729
0.828125,0.01465422,133.1182
0.830078125,0.01475722,133.29
0.83203125,0.01468474,133.501
0.833984375,0.01474196,132.9697
0.8359375,0.01474577,133.415
0.837890625,0.01470953,132.9854
0.83984375,0.01456076,132.9854
0.841796875,0.01445776,132.29
0.84375,0.01439291,132.4697
0.845703125,0.0141297,132.2275
0.84765625,0.0141564,131.876
0.849609375,0.01402479,132.2588
0.8515625,0.01385123,131.7119
0.853515625,0.01390845,131.8291
0.85546875,0.01371008,132.1104
0.857421875,0.01368719,131.5088
0.859375,0.01369864,131.9385
0.861328125,0.01348883,131.8525
0.86328125,0.0135842,131.5635
0.865234375,0.01351935,132.0791
0.8671875,0.01339346,131.5869
0.869140625,0.013506,131.7666
0.87109375,0.01339346,132.0713
0.873046875,0.01343352,131.6416
0.875,0.01347929,132.1494
0.876953125,0.01360518,132.1338
0.87890625,0.01371771,132.8604
0.880859375,0.01388556,132.501
0.8828125,0.01407439,133.0947
0.884765625,0.01408201,133.2197
0.88671875,0.01426512,132.9619
0.888671875,0.01434904,133.54
0.890625,0.01433951,133.1807
0.892578125,0.01448447,133.251
0.89453125,0.01447684,133.6104
0.896484375,0.0145207,133.0244
0.8984375,0.01462942,133.376
0.900390625,0.01455122,133.4541
0.90234375,0.01468664,133.04
0.904296875,0.0147267,133.5635
0.90625,0.01465422,133.165
0.908203125,0.01478773,133.1885
0.91015625,0.01474005,133.5479
0.912109375,0.01474196,132.9307
0.9140625,0.01477057,133.2432
0.916015625,0.01468855,132.7588
0.91796875,0.01454931,132.8135
0.919921875,0.01439101,132.1885
0.921875,0.01436049,132.2588
0.923828125,0.01411062,132.2354
0.92578125,0.01409918,131.7432
0.927734375,0.01402479,132.1338
0.9296875,0.01380736,131.7666
0.931640625,0.01387602,131.6963
0.93359375,0.01373106,132.1104
0.935546875,0.01363951,131.5166
0.9375,0.01369673,131.8525
0.939453125,0.013506,132.001
0.94140625,0.0135594,131.54
0.943359375,0.01355368,132.0322
0.9453125,0.01338392,131.7666
0.947265625,0.0135079,131.6963
0.94921875,0.01342398,132.1416
0.951171875,0.01338011,131.6338
0.953125,0.01347166,131.9854
0.955078125,0.01339346,132.1572
0.95703125,0.01358801,132.6885
0.958984375,0.01369292,132.5557
0.9609375,0.01396948,132.9932
0.962890625,0.01401907,133.3838
0.96484375,0.0142079,132.9385
0.966796875,0.01435095,133.5166
0.96875,0.01430899,133.3213
0.970703125,0.01449019,133.1963
0.97265625,0.01450163,133.5869
0.974609375,0.01448447,133.0713
0.9765625,0.01461607,133.29
0.978515625,0.01455694,133.5635
0.98046875,0.01464468,133.001
0.982421875,0.01471335,133.4619
0.984375,0.01461989,133.29
0.986328125,0.01474768,133.0713
0.98828125,0.01473433,133.501
0.990234375,0.01468474,132.9932
0.9921875,0.01478964,133.165
0.994140625,0.01470762,133.3604
0.99609375,0.01475912,132.9619
0.998046875,0.01458746,132.7041
1.0,0.01456648,132.4463
1.001953125,0.01432806,132.5322
1.00390625,0.01424032,131.876
1.005859375,0.01419455,132.1416
1.0078125,0.01394087,131.9854
1.009765625,0.01398283,131.665
1.01171875,0.01387602,132.0947
1.013671875,0.01370436,131.5869
1.015625,0.01378065,131.7119
1.017578125,0.01360136,132.0557
1.01953125,0.01358038,131.4463
1.021484375,0.01360899,131.8916
1.0234375,0.01341063,131.8525
1.025390625,0.0135079,131.5635
1.02734375,0.01346403,132.0869
1.029296875,0.01335913,131.6885
1.03125,0.01348311,131.8604
1.033203125,0.013403,132.1338
1.03515625,0.01354605,132.2432
1.037109375,0.0135861,132.501
1.0390625,0.0138703,132.8916
1.041015625,0.01395994,133.5166
1.04296875,0.01409918,133.0791
1.044921875,0.01426512,133.5322
1.046875,0.01424605,133.6729
1.048828125,0.01441771,133.3369
1.05078125,0.01448065,133.8135
1.052734375,0.01444441,133.4619
1.0546875,0.01458174,133.4775
1.056640625,0.01456267,133.8682
1.05859375,0.01458937,133.2744
1.060546875,0.01470572,133.626
1.0625,0.01461607,133.6963
1.064453125,0.01473814,133.2275
1.06640625,0.01476866,133.6963
1.068359375,0.01468283,133.3135
1.0703125,0.01479918,133.2744
1.072265625,0.01473433,133.5479
1.07421875,0.01471907,133.0635
1.076171875,0.01460844,133.2588
1.078125,0.01459318,132.9463
1.080078125,0.01443487,133.0557
1.08203125,0.0142861,132.415
1.083984375,0.01427275,132.54
1.0859375,0.01403433,132.5713
1.087890625,0.01403052,132.0322
1.08984375,0.01396948,132.415
1.091796875,0.01375395,132.0791
1.09375,0.01383406,131.9307
1.095703125,0.01369864,132.3447
1.09765625,0.01360518,131.7275
1.099609375,0.01367003,132.001
1.1015625,0.01348692,132.1885
1.103515625,0.0135327,131.6494
1.10546875,0.0135327,132.1338
1.107421875,0.01336294,131.876
1.109375,0.01349074,131.7979
1.111328125,0.0134297,132.2041
1.11328125,0.01340681,131.7822
1.115234375,0.01349074,132.3135
1.1171875,0.01360327,132.3994
1.119140625,0.01379591,133.2432
1.12109375,0.01391608,132.8838
1.123046875,0.01416594,133.29
1.125,0.01418883,133.6416
1.126953125,0.01433951,133.0869
1.12890625,0.01444441,133.6025
1.130859375,0.01439101,133.4307
1.1328125,0.01453596,133.2197
1.134765625,0.01456076,133.6885
1.13671875,0.01453978,133.1416
1.138671875,0.01467139,133.3057
1.140625,0.01461035,133.5713
1.142578125,0.01467901,132.9932
1.14453125,0.01474577,133.4072
1.146484375,0.01464468,133.2744
1.1484375,0.01476485,133.04
1.150390625,0.01476103,133.4541
1.15234375,0.01470572,132.9385
1.154296875,0.01478964,133.1182
1.15625,0.01467139,132.5713
1.158203125,0.01453596,132.6729
1.16015625,0.0143128,132.1885
1.162109375,0.01430899,132.1494
1.1640625,0.01408774,132.3447
1.166015625,0.01401144,131.6963
1.16796875,0.01399046,132.0322
1.169921875,0.01375204,131.9385
1.171875,0.01380736,131.5947
1.173828125,0.01372153,132.0791
1.17578125,0.01355749,131.5947
1.177734375,0.01365286,131.7197
1.1796875,0.01349646,132.0791
1.181640625,0.0134812,131.4932
1.18359375,0.01352888,131.915
1.185546875,0.0133515,131.9229
1.1875,0.01345831,131.6416
1.189453125,0.01343733,132.1338
1.19140625,0.01336676,131.8525
1.193359375,0.013506,132.1885
1.1953125,0.01358229,132.0166
1.197265625,0.01378447,132.7588
1.19921875,0.01385313,132.5713
1.201171875,0.01411062,132.7822
1.203125,0.01416594,133.2822
1.205078125,0.01426131,132.7822
1.20703125,0.01442152,133.2275
1.208984375,0.01437765,133.3604
1.2109375,0.01452261,133.0479
1.212890625,0.01457602,133.5244
1.21484375,0.01451689,133.2432
1.216796875,0.01466948,133.2744
1.21875,0.0146485,133.7275
1.220703125,0.01466185,133.1182
1.22265625,0.01477438,133.4775
1.224609375,0.0146752,133.5791
1.2265625,0.01477629,133.1338
1.228515625,0.01479918,133.5713
1.23046875,0.01470381,133.2588
1.232421875,0.01481444,133.2197
1.234375,0.01473242,133.376
1.236328125,0.01472288,133.0635
1.23828125,0.01451308,132.8135
1.240234375,0.01449972,132.4932
1.2421875,0.01432043,132.6963
1.244140625,0.01416975,132.0869
1.24609375,0.01417547,132.2432
1.248046875,0.01393896,132.3447
1.25,0.01393515,131.7979
1.251953125,0.01388747,132.2275
1.25390625,0.01367384,131.9463
1.255859375,0.01375777,131.7979
1.2578125,0.01364142,132.2354
1.259765625,0.01353842,131.6416
1.26171875,0.01361662,131.8994
1.263671875,0.01343733,132.1182
1.265625,0.0134812,131.5869
1.267578125,0.01349264,132.0791
1.26953125,0.01334769,131.876
1.271484375,0.0134812,131.8213
1.2734375,0.01345259,132.1338
1.275390625,0.01350218,131.8525
1.27734375,0.01352698,132.3369
1.279296875,0.01375967,132.415
1.28125,0.01387793,133.2432
1.283203125,0.01395041,132.876
1.28515625,0.01415449,133.2432
1.287109375,0.01415259,133.6025
1.2890625,0.01427084,133.1182
1.291015625,0.01436812,133.5557
1.29296875,0.01431662,133.4932
1.294921875,0.01449209,133.251
1.296875,0.01452643,133.7275
1.298828125,0.01450545,133.2119
1.30078125,0.0146485,133.3604
1.302734375,0.01460081,133.6494
1.3046875,0.01466185,133.0557
1.306640625,0.01473433,133.4541
1.30859375,0.01463515,133.3447
1.310546875,0.01474768,133.0479
1.3125,0.01473433,133.4541
1.314453125,0.01471907,132.8369
1.31640625,0.01452261,132.7979
1.318359375,0.01449019,132.3369
1.3203125,0.01436239,132.5244
1.322265625,0.01415449,131.9775
1.32421875,0.01417929,131.9541
1.326171875,0.01397902,132.2119
1.328125,0.01391035,131.5791
1.330078125,0.01391035,131.9229
1.33203125,0.01367384,131.8916
1.333984375,0.01373488,131.5244
1.3359375,0.01366431,132.0322
1.337890625,0.013506,131.5869
1.33984375,0.01360708,131.6885
1.341796875,0.01347166,132.0791
1.34375,0.01345259,131.4775
1.345703125,0.01350981,131.8994
1.34765625,0.0133515,131.9619
1.349609375,0.01346213,131.7197
1.3515625,0.01346403,132.1338
1.353515625,0.01348883,131.9619
1.35546875,0.01356703,132.6572
1.357421875,0.0137921,132.5557
1.359375,0.01395994,133.3525
1.361328125,0.01399428,133.1572
1.36328125,0.01421934,133.2744
1.365234375,0.0142594,133.7822
1.3671875,0.01432425,133.1885
1.369140625,0.01446539,133.5869
1.37109375,0.0144158,133.665
1.373046875,0.01453215,133.2275
1.375,0.014597,133.7119
1.376953125,0.01453215,133.376
1.37890625,0.01469046,133.3057
1.380859375,0.01466757,133.751
1.3828125,0.01466948,133.1338
1.384765625,0.01476675,133.4229
1.38671875,0.0146752,133.5479
1.388671875,0.01476103,133.0713
1.390625,0.01478773,133.501
1.392578125,0.01469427,133.1885
1.39453125,0.01474959,133.2432
1.396484375,0.01463705,132.9697
1.3984375,0.01457411,133.0635
1.400390625,0.01433188,132.7979
1.40234375,0.01434523,132.5479
1.404296875,0.0141812,132.8369
1.40625,0.01403242,132.2119
1.408203125,0.01405722,132.3604
1.41015625,0.01383215,132.4854
1.412109375,0.01383024,131.8994
1.4140625,0.01379973,132.3291
1.416015625,0.01358801,132.0557
1.41796875,0.01368147,131.8682
1.419921875,0.01357657,132.3369
1.421875,0.01346976,131.7354
1.423828125,0.0135594,131.9775
1.42578125,0.01339537,132.2119
1.427734375,0.01344687,131.7041
1.4296875,0.01347739,132.126
1.431640625,0.01336485,131.9697
1.43359375,0.01350409,132.1729
1.435546875,0.01353842,132.2979
1.4375,0.01375777,132.9697
1.439453125,0.01380163,133.165
1.44140625,0.01406103,133.1338
1.443359375,0.01415831,133.7822
1.4453125,0.01418883,133.3369
1.447265625,0.0143643,133.6104
